"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYROXASULFONE = 90099)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYROXSULAM = 108702)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","4,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)","3,935,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)","44,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SULFENTRAZONE = 129081)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TEMBOTRIONE = 12801)","44,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (THIENCARBAZONE-METHY = 15804)","25,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (THIFENSULFURON = 128845)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOPRAMEZONE = 123009)","33,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOTAL)","32,371,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIBENURON-METHYL = 128887)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","FERTILIZER","FERTILIZER: (NITROGEN)","1,784,300,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","FERTILIZER","FERTILIZER: (PHOSPHATE)","698,200,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","FERTILIZER","FERTILIZER: (POTASH)","823,400,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","FERTILIZER","FERTILIZER: (SULFUR)","51,000,000",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-DB, DIMETH. SALT = 30819)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BAPMA SALT OF DICAMBA = 100094)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BICYCLOPYRONE = 18986)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLORANSULAM-METHYL = 129116)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA = 29801)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, DIGLY. SALT = 128931)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)","1.2",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIQUAT DIBROMIDE = 32201)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE DIM. SALT = 103608)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (IMAZETHAPYR = 128922)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ISOXAFLUTOLE = 123000)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (MESOTRIONE = 122990)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METOLACHLOR = 108801)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (METRIBUZIN = 101101)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (NICOSULFURON = 129008)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYROXASULFONE = 90099)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (PYROXSULAM = 108702)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (RIMSULFURON = 129009)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (S-METOLACHLOR = 108800)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SAFLUFENACIL = 118203)","1.2",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (SULFENTRAZONE = 129081)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TEMBOTRIONE = 12801)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (THIENCARBAZONE-METHY = 15804)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (THIFENSULFURON = 128845)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TOPRAMEZONE = 123009)","1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIBENURON-METHYL = 128887)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (TRIFLURALIN = 36101)"," (D)",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","FERTILIZER: (NITROGEN)","1.8",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","FERTILIZER: (PHOSPHATE)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","FERTILIZER: (POTASH)","1.1",""
"SURVEY","2018","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN NUMBER, AVG","FERTILIZER","FERTILIZER: (SULFUR)","1.1",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, 2-EHE = 30063)","311,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (2,4-D, DIMETH. SALT = 30019)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ACETOCHLOR = 121601)","7,938,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (ATRAZINE = 80803)","6,767,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (BENTAZON = 103901)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID = 117403)","192,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLOPYRALID MONO SALT = 117401)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (CLORANSULAM-METHYL = 129116)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA = 29801)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, DIMET. SALT = 29802)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DICAMBA, SODIUM SALT = 29806)","91,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIFLUFENZOPYR-SODIUM = 5107)","34,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID = 129051)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (DIMETHENAMID-P = 120051)","437,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUMETSULAM = 129016)","79,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUROXYPYR 1-MHE = 128968)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (FLUTHIACET-METHYL = 108803)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLUFOSINATE-AMMONIUM = 128850)","132,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE = 417300)","1,530,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE AMM. SALT = 103604)"," (D)",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE DIM. SALT = 103608)","1,058,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE ISO. SALT = 103601)","3,500,000",""
"SURVEY","2014","YEAR","","STATE","IOWA","19","","","","","","","00000000","","CORN","CORN - APPLICATIONS, MEASURED IN LB","CHEMICAL, HERBICIDE","CHEMICAL, HERBICIDE: (GLYPHOSATE POT. SALT = 103613)","3,959,000",""
